GastID;Nachname;Vorname;Zimmernummer;Zimmerkategorie;Tagesrate;CheckIn;CheckOut;VerbleibendeNaechte;GastTyp;AnzahlPersonen;KinderUnter12;BesondererAnlass;Praeferenzen;GruppenID;VIP;WiederholungsBesuche;Bemerkungen;Mobilitaet
G001;Hartmann;Michael;101;Presidential;850;2026-06-09;2026-06-14;3;Honeymoon;2;0;Hochzeitstag;Fenster;;Ja;3;;
G002;Müller;Hans;205;Suite;520;2026-06-10;2026-06-15;4;Stammgast;1;0;;Ruhig;;Nein;7;;
G003;Weber;Familie;312;Deluxe;380;2026-06-08;2026-06-13;2;Familie;4;2;;;Familie;;Nein;1;;
G004;Bauer;Klaus;418;Superior;280;2026-06-11;2026-06-12;1;VIP;2;0;;Fenster;;Ja;0;;
G005;Fischer;Anna;220;Suite;490;2026-06-09;2026-06-16;5;Einzelgast;1;0;Geburtstag;Ruhig;Steckdose;Nein;2;;
G006;Wagner;Peter;115;Standard;180;2026-06-11;2026-06-13;2;Einzelgast;2;0;;;;;Nein;0;;
G007;Schneider;Familie;330;Deluxe;360;2026-06-10;2026-06-17;6;Familie;5;3;;;;;Nein;0;;
G008;Koch;Robert;410;Presidential;780;2026-06-11;2026-06-15;4;Stammgast;2;0;;Fenster;;Nein;12;;
G009;Becker;Sophie;108;Suite;510;2026-06-09;2026-06-14;3;Honeymoon;2;0;Honeymoon;Fenster;;Nein;0;;
G010;Zimmermann;Franz;216;Superior;240;2026-06-11;2026-06-12;1;Einzelgast;1;0;;;;;Nein;0;;Rollstuhl
